movie_id,movieTitle,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Total,x,y,movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anger-orig,anticipation-orig,disgust-orig,fear-orig,joy-orig,sadness-orig,surprise-orig,trust-orig,anger-per,anticipation-per,disgust-per,fear-per,joy-per,sadness-per,surprise-per,trust-per
421238,The Proposition,1.378828379,-2.356639405,0.984183662,1.199256208,-1.185373753,1.261289841,-1.034897664,-0.141603818,0.134126929,48.299374,-1.7163019,7.4,John Hillcoat,Nick Cave,Ray Winstone & Guy Pearce & Emily Watson,Crime & Drama & Western,2006,1203,1192,817,1521,1015,1253,738,1670,57.11815384,15.11028778,67.49077357,69.76450049,19.32531028,48.02188303,37.18912707,35.65436169
421239,Red Eye,0.403062553,0.603401852,-0.234514657,0.817688009,-0.674542551,-0.222067492,1.312842521,-0.498482789,0.117438631,29.998209,29.962873,6.5,Wes Craven,Carl Ellsworth & Carl Ellsworth,Rachel McAdams & Cillian Murphy & Brian Cox,Horror & Mystery & Thriller,2005,3075,5474,1813,4370,3693,2996,3222,5034,42.27251644,56.17918611,48.68644889,63.00351516,28.54316052,28.22231529,62.04769118,30.19975821
421715,The Curious Case of Benjamin Button,-1.110524682,0.695866749,-0.877476503,-0.652276881,0.772894537,-0.114198906,-0.395946057,-0.353932861,0.117252731,-22.90909,-1.5973299,7.8,David Fincher,Eric Roth & Eric Roth,Brad Pitt & Cate Blanchett & Tilda Swinton,Drama & Fantasy & Romance,2008,3307,9418,2562,5136,8618,5225,4390,8750,19.24427885,57.46208427,38.76564805,36.9572905,54.66188282,29.66212439,43.95453476,32.40908576
421729,Big Momma`s House 2,-0.789974717,1.447426819,0.150428474,-0.653546513,0.836540959,-0.591311205,0.709623946,-0.365213469,0.112272303,-27.347328,-17.210844,4.6,John Whitesell,Don Rhymer & Darryl Quarles,Martin Lawrence & Emily Procter & Nia Long,Comedy & Crime,2006,228,623,212,315,535,288,313,536,24.12123645,67.88955517,54.62606127,36.93479397,55.8103702,23.29372139,55.66063536,32.23667088
421994,Imagine Me & You,-0.753261042,0.675942777,0.460701172,-0.948651741,2.388724,0.169648861,0.128452388,1.236623051,0.124096882,-28.287851,-31.53107,6.9,Ol Parker,Ol Parker,Piper Perabo & Lena Headey & Matthew Goode,Comedy & Drama & Romance,2006,398,994,400,504,1186,586,500,1126,24.67981095,57.18565042,59.41352053,31.70584114,83.81921296,33.45086966,49.50701985,56.71943333
422093,Diary of a Mad Black Woman,-0.038592659,0.589685453,-0.018364359,-0.472372667,1.038996791,0.58170876,0.503564255,0.705370417,0.115142064,-20.360615,-29.085121,5.6,Darren Grant,Tyler Perry & Tyler Perry,Kimberly Elise & Steve Harris & Tyler Perry,Comedy & Drama & Romance,2005,749,1492,527,861,1449,961,796,1604,35.55302191,55.98887883,52.02161421,40.14500308,59.46364653,38.95096577,53.4788147,48.59967087
422295,Fur: An Imaginary Portrait of Diane Arbus,-1.170836012,-0.679547957,-0.66319203,-1.115860886,0.225061878,-0.713617888,-0.4159969,0.257166286,0.115443057,-19.559273,6.0113254,6.5,Steven Shainberg,Erin Cressida Wilson & Patricia Bosworth,Nicole Kidman & Robert Downey Jr. & Ty Burrell,Biography & Drama & Romance,2006,321,802,271,454,769,453,435,942,18.3266815,38.37898311,42.07202399,28.74307177,44.77634846,21.66119535,43.74223052,41.74923693
422401,Hatchet,2.097859996,-0.755712041,2.697338322,1.971831287,-0.927369566,2.403481646,1.975677904,-2.2337684,0.130462238,54.848476,27.35593,5.7,Adam Green,Adam Green,Kane Hodder & Joel David Moore & Deon Richmond,Comedy & Horror,2010,488,527,478,657,388,529,390,429,68.05774856,37.32224952,93.92448235,83.45371458,23.98094594,63.26763907,69.06598732,3.677335444
422720,Marie Antoinette,-0.38539977,0.061458463,-0.571223597,-0.724722144,0.28285271,0.342410509,-0.660141101,-0.546131384,0.121209274,-17.424185,-0.19511725,6.4,Sofia Coppola,Sofia Coppola,Kirsten Dunst & Jason Schwartzman & Rip Torn,Biography & Drama & History,2006,2613,5430,1729,3113,4834,3539,2605,5260,30.27657906,48.66002809,43.49108255,35.67363698,45.81917285,35.75685884,41.15715987,29.47148837
422778,The Muppets` Wizard of Oz,-0.662383379,0.233957998,0.261341329,-0.393819123,0.75296345,-0.719558756,-0.680534016,-0.607161907,0.102665462,-14.195962,-5.3198714,5.3,Kirk R. Thatcher,Debra Frank & Steve L. Hayes,Ashanti & Jeffrey Tambor & Quentin Tarantino,Adventure & Comedy & Family & Fantasy & Music,2005,225,520,207,318,498,264,244,490,26.06245502,51.05336158,56.33742929,41.53688888,54.30223022,21.5818978,40.94123368,28.53868669
422783,Music Within,-1.441313706,-1.950154044,-1.969419293,-0.314665348,-0.212032007,0.469950128,-0.876382647,0.568557657,0.13033938,-17.893604,18.158035,7.4,Steven Sawalich,Bret McKinney & Mark Andrew Olsen,Ron Livingston & Melissa George & Michael Sheen,Biography & Comedy & Drama & Music & Romance & War,2007,82,194,53,159,200,167,116,280,14.2115407,20.75004227,21.91714137,42.93941014,36.88907385,37.45923309,38.86753073,46.50859962
422861,The Oh in Ohio,-1.495396703,3.295793504,-1.282192118,-1.544686586,2.882794845,-1.126299938,0.824475315,2.204447513,0.124220545,-53.68918,-21.044182,5.6,Billy Kent,Sarah Bird & Billy Kent,Parker Posey & Paul Rudd & Danny DeVito,Comedy & Drama & Romance,2007,68,289,55,99,290,99,125,285,13.38870335,93.53459755,32.52094933,21.14473346,92.73462579,16.1527949,56.87671546,71.51183948
423169,Sherrybaby,-0.113362164,-0.828675079,-0.894067558,-0.232986894,-0.039360721,0.5688586,-1.641941487,0.66890649,0.121818074,-12.959293,15.627825,6.6,Laurie Collyer,Laurie Collyer,Maggie Gyllenhaal & Ryan Simpkins & Sam Bottoms,Drama,2007,300,519,167,374,479,392,235,653,34.4154529,36.30992863,38.50965066,44.38666605,40.00489379,38.7794443,30.7615684,48.04234955
423294,Surf`s Up,-1.798067379,1.153484121,-1.863811944,-1.518196992,1.573397609,-1.649582056,0.884941825,-0.377165217,0.107987592,-38.252247,-10.175945,6.8,Ash Brannon & Chris Buck,Don Rhymer & Ash Brannon,Shia LaBeouf & Zooey Deschanel & Jon Heder,Animation & Comedy & Family & Sport,2007,259,1052,205,440,1056,375,556,930,8.783767421,63.81126648,23.54664629,21.61410108,69.10680593,9.168126067,57.51695267,32.05399819
423409,Tristram Shandy: A Cock and Bull Story,-0.945387662,-0.74795126,-1.335068842,-1.295798197,-0.3452152,-1.471890738,-1.298618783,0.333133605,0.106071139,-25.008898,12.856768,6.8,Michael Winterbottom,Laurence Sterne & Frank Cottrell Boyce,Steve Coogan & Jeremy Northam & Rob Brydon,Comedy & Drama,2006,411,935,262,510,797,434,445,1118,21.75673036,37.42992597,31.70506975,25.55477273,34.48580887,11.53991553,34.39677024,42.91033534
423455,Hemingway & Gellhorn,0.242776372,-1.687406992,0.340195725,-0.071457682,-0.940805615,-0.011474833,-1.112991493,-0.56943792,0.127174767,29.779613,-10.772662,6.3,Philip Kaufman,Jerry Stahl & Barbara Turner,Nicole Kidman & Clive Owen & David Strathairn,Biography & Drama & Romance,2012,182,256,132,215,212,193,142,307,39.83386727,24.39550901,57.55414031,47.24879302,23.73849504,31.03326551,36.36224662,29.115267
423510,Warm Springs,-0.844346811,-0.060980188,-1.487485777,0.091102603,-0.2442867,0.802713839,-0.661675722,1.443245921,0.125357483,-24.607159,6.0575,7.7,Joseph Sargent,Margaret Nagle,Kenneth Branagh & Cynthia Nixon & David Paymer,Biography & Drama,2005,153,364,90,260,293,262,177,457,23.29400068,46.96126106,29.35330024,50.1291895,36.30704415,41.90089895,41.14091085,59.87749508
423977,Charlie Bartlett,-0.718747532,-0.9455654,-0.700789153,-0.879747984,-0.312395981,-0.452103556,-1.391899489,1.731556667,0.120933203,-28.385508,16.725761,7,Jon Poll,Gustin Nash,Anton Yelchin & Robert Downey Jr. & Hope Davis,Comedy & Drama & Romance,2008,391,802,277,498,706,498,385,1154,25.20491137,34.68814153,41.49190626,32.9267429,35.07802534,25.15183825,33.40908666,64.28408927
424095,Flushed Away,-1.498422792,-1.173354733,1.875043319,-1.028309021,0.347797336,-1.901970801,-1.235360841,-1.907798591,0.123567921,-12.956649,-7.394904,6.7,David Bowers & Sam Fell,Dick Clement & Ian La Frenais,Hugh Jackman & Kate Winslet & Ian McKellen,Animation & Adventure & Comedy & Family,2006,298,804,605,495,841,343,408,731,13.34266338,31.52769337,81.23659891,30.29439829,46.99108606,5.79928974,35.06656395,8.659517641
424136,Hard Candy,1.0952682,-0.226144978,1.022982099,0.929009573,-1.147020477,0.734492481,-0.307866117,-1.037025683,0.119881845,35.339645,11.044427,7.1,David Slade,Brian Nelson,Patrick Wilson & Ellen Page & Sandra Oh,Crime & Drama & Thriller,2006,3893,5413,2832,4869,3518,3922,2827,5045,52.8039716,44.66969301,68.08942739,64.97601566,20.01738773,40.99029342,44.88715109,21.96857008
424345,Clerks II,-0.868434318,0.082527192,0.130181976,-1.309013172,0.531706119,-1.062828128,-0.338538165,0.199359573,0.108939394,-19.84051,-10.343495,7.4,Kevin Smith,Kevin Smith,Brian O`Halloran & Jeff Anderson & Rosario Dawson,Comedy,2006,1659,4045,1576,1996,3776,1913,2031,4317,22.92752505,48.95234479,54.31366097,25.32061735,50.30968447,17.00000439,44.56238641,40.86570855
424774,The Adventures of Sharkboy and Lavagirl 3-D,-0.179511853,0.890025241,0.733385691,0.110146576,0.515092861,-0.689596968,-1.005022643,-0.917920721,0.109978359,-2.6353793,-18.058002,3.5,Robert Rodriguez,Robert Rodriguez & Marcel Rodriguez,Cayden Boyd & George Lopez & Kristin Davis,Action & Adventure & Family & Fantasy,2005,605,1293,551,838,1104,617,538,1087,33.40902874,60.15592353,63.62100005,50.46662858,50.00990145,21.98182197,37.50545259,23.78899212
