movie_id,movieTitle,anticipation,joy,trust,anger,fear,disgust,sadness,surprise,Total,x,y,movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anticipation-orig,joy-orig,trust-orig,anger-orig,fear-orig,disgust-orig,sadness-orig,surprise-orig,anticipation-per,joy-per,trust-per,anger-per,fear-per,disgust-per,sadness-per,surprise-per,anger-Percentile,anticipation-Percentile,disgust-Percentile,fear-Percentile,joy-Percentile,sadness-Percentile,surprise-Percentile,trust-Percentile
988045,Sherlock Holmes,0.210744213,-0.382880619,-0.599519347,-0.476056618,-0.413004693,-0.521568107,-0.846321923,0.140114569,0.11730755,-7.1483083,-3.9895246,7.6,Guy Ritchie,Michael Robert Johnson & Anthony Peckham,Robert Downey Jr. & Jude Law & Rachel McAdams,Action & Adventure & Crime & Mystery & Thriller,2009,6338,4792,5994,2918,3867,2014,3126,3356,50.73128344,33.80614368,28.65549697,28.89729454,41.19694085,44.25725899,19.88988747,49.63050245,31.7,58.35,30.1,33.98,35.09,19.87,55.57,27.44
988047,Traitor,-1.671188723,-1.313691316,0.121599784,1.635323232,1.545924062,0.925053572,0.886364168,2.071267284,0.131046614,42.020153,21.792187,7,Jeffrey Nachmanoff,Jeffrey Nachmanoff & Steve Martin,Don Cheadle & Guy Pearce & Archie Panjabi,Action & Crime & Drama & Thriller,2008,1046,776,1373,1004,1319,638,934,881,24.62052831,17.00984468,39.67721372,61.0205549,75.90708857,66.57840552,43.01744743,70.07811581,94.9,4.73,82.25,93.89,9.45,81.23,98.08,54.84
988595,27 Dresses,1.288806196,2.174200903,1.57394454,-1.423632246,-1.698356102,-1.36423917,-0.999708505,0.239841126,0.114742909,-50.710964,-16.195875,6.1,Anne Fletcher,Aline Brosh McKenna,Katherine Heigl & James Marsden & Malin Akerman,Comedy & Romance,2008,1448,1574,1600,421,571,322,614,695,65.68878375,79.94818516,61.87511668,14.48055252,18.42187202,31.25497613,17.84251294,50.68643658,7.73,90.13,8.62,4.47,98.52,15.87,59.48,94.22
989000,In Search of a Midnight Kiss,0.507625026,1.016217422,1.286366382,-0.71018047,-0.906545408,-0.933589769,0.101764688,-0.818998953,0.113737209,-29.544636,-3.7559156,7.3,Alex Holdridge,Alex Holdridge,Scoot McNairy & Sara Simmonds & Brian McGuire,Comedy & Romance,2008,370,361,429,153,193,101,219,165,54.85033682,59.05259722,57.47971951,25.33525361,32.45192086,37.89982912,32.5447648,39.47512617,23.88,69.41,17.53,18.23,84.52,54.05,20.64,90.08
989757,Dear John,0.999864637,0.951745972,0.403128129,-0.746817557,-0.08134213,-0.672732401,0.698036597,0.366682058,0.118346792,-19.520596,-24.92281,6.3,Lasse Hallstr?m,Jamie Linden & Nicholas Sparks,Channing Tatum & Amanda Seyfried & Richard Jenkins,Drama & Romance & War,2010,1690,1549,1679,656,1032,473,1066,849,61.67988303,57.88922238,43.98014444,24.77784435,47.07365103,41.92481756,40.50368731,52.02946571,22.76,84.13,25.06,46.76,82.94,75.74,64.31,65.66
990407,The Green Hornet,0.024257589,-0.091034305,-0.087805079,0.364064521,-0.344964961,0.014868347,-0.958729593,-0.125016648,0.121467849,-2.492438,-5.2390685,5.8,Michel Gondry,Seth Rogen & Evan Goldberg,Seth Rogen & Jay Chou & Christoph Waltz,Action & Comedy & Crime & Sci-Fi & Thriller,2011,4272,3526,4422,2531,2707,1620,2090,2226,48.14388701,39.07245397,36.47663148,41.67918695,42.40253301,52.53438969,18.38949157,46.82321508,64.21,50.97,50.59,36.51,46.37,16.88,45.03,46.5
991178,Battlestar Galactica: Razor,-0.966582312,-1.996377692,0.349625353,-0.123678253,0.1746048,-0.831905714,-0.620492615,-2.15199917,0.123737563,29.96654,-20.90235,7.7,F?lix Enr?quez Alcal?,Ronald D. Moore & Michael Taylor,Edward James Olmos & Mary McDonnell & Katee Sackhoff,Action & Drama & Sci-Fi & Thriller,2007,411,220,506,241,334,137,246,172,34.39654377,4.690901075,43.16239823,34.25850038,51.6087602,39.4687982,22.90421355,25.36092752,45.08,16.69,20.27,56.93,2.29,26.75,1.57,63.67
993842,Hanna,-0.408686318,-0.526516215,-0.737366154,0.133942516,0.371775837,-0.650352863,0.033167987,-0.16553131,0.125558607,15.005173,-3.6984918,6.8,Joe Wright,Seth Lochhead & David Farr,Saoirse Ronan & Cate Blanchett & Eric Bana,Action & Drama & Thriller,2011,4498,3524,4475,2642,3590,1477,2908,2449,42.13703515,31.21426712,26.54862116,38.17803149,55.10242263,42.27013033,31.62914926,46.39423392,55.33,34.14,25.77,64.5,29.93,51.32,43.43,23.04
993846,The Wolf of Wall Street,0.164048548,-0.001685919,0.526074305,0.432033018,-0.577118051,0.669076216,-0.731767768,-0.350486287,0.118837709,1.3038452,-9.508671,8.2,Martin Scorsese,Terence Winter & Jordan Belfort,Leonardo DiCaprio & Jonah Hill & Margot Robbie,Biography & Comedy & Crime & Drama,2013,11612,9624,12790,6887,6832,5245,5923,5768,50.08340751,40.6847283,45.8592763,42.71328307,38.28902555,62.62871491,21.41893426,44.43587618,66.71,56.52,74.83,28.19,49.93,23.22,36.3,70.06
995039,Ghost Town,-0.059095746,0.208157429,-0.081598412,-1.182478396,0.021501171,-0.878863082,-0.532166797,0.816635801,0.115253717,-3.4451668,-4.0168877,6.7,David Koepp,David Koepp & John Kamps,Ricky Gervais & Greg Kinnear & T?a Leoni,Comedy & Drama & Fantasy & Romance,2008,1247,1108,1304,462,875,368,684,743,46.98740663,44.47131095,36.5714953,18.14955027,48.89592565,38.74425335,24.08316954,56.79370838,11.85,47.64,18.97,50.86,58.24,29.73,79.29,46.75
